subset_size,subset_indices,AV,CC,PAIRS,CONS
4,"[1, 2, 3, 9]",1888,1696,958583,1437360
4,"[1, 2, 3, 10]",1826,1603,940404,1284003
4,"[1, 2, 3, 11]",2792,2105,1481077,2214460
4,"[1, 2, 4, 5]",1001,748,159226,279378
4,"[1, 2, 4, 6]",787,687,94948,235641
4,"[1, 2, 4, 7]",1721,1349,728205,909226
4,"[1, 2, 4, 8]",636,537,69860,143916
4,"[1, 2, 4, 9]",857,757,114263,286146
4,"[1, 2, 4, 10]",795,611,92863,186355
4,"[1, 2, 4, 11]",1761,1605,802978,1287210
4,"[1, 2, 5, 6]",934,809,148753,326836
4,"[1, 2, 5, 7]",1868,1381,756281,952890
4,"[1, 2, 5, 8]",783,659,123673,216811
4,"[1, 2, 5, 9]",1004,875,168042,382375
4,"[1, 2, 5, 10]",942,733,146485,268278
4,"[1, 2, 5, 11]",1908,1686,853318,1420455
4,"[1, 2, 6, 7]",1654,1449,728458,1049076
4,"[1, 2, 6, 8]",569,522,53209,135981
4,"[1, 2, 6, 9]",790,671,93333,224785
4,"[1, 2, 6, 10]",728,625,78002,195000
4,"[1, 2, 6, 11]",1694,1478,773497,1091503
4,"[1, 2, 7, 8]",1503,1306,703566,852165
4,"[1, 2, 7, 9]",1724,1515,747578,1146855
4,"[1, 2, 7, 10]",1662,1337,719453,893116
4,"[1, 2, 7, 11]",2628,2208,1411711,2436528
4,"[1, 2, 8, 9]",639,593,72577,175528
4,"[1, 2, 8, 10]",577,477,52951,113526
4,"[1, 2, 8, 11]",1543,1440,761226,1036080
4,"[1, 2, 9, 10]",798,689,97231,237016
4,"[1, 2, 9, 11]",1764,1496,782743,1118260
4,"[1, 2, 10, 11]",1702,1539,785866,1183491
4,"[1, 3, 4, 5]",2303,1740,1023305,1512930
4,"[1, 3, 4, 6]",2089,1762,978105,1551441
4,"[1, 3, 4, 7]",3023,2023,1452744,2045253
4,"[1, 3, 4, 8]",1938,1661,956491,1378630
4,"[1, 3, 4, 9]",2159,1816,996698,1648020
4,"[1, 3, 4, 10]",2097,1706,976937,1454365
4,"[1, 3, 4, 11]",3063,2221,1518524,2465310
4,"[1, 3, 5, 6]",2236,1789,1014585,1599366
4,"[1, 3, 5, 7]",3170,2024,1470420,2047276
4,"[1, 3, 5, 8]",2085,1686,992962,1420455
4,"[1, 3, 5, 9]",2306,1843,1033175,1697403
4,"[1, 3, 5, 10]",2244,1738,1013370,1509453
4,"[1, 3, 5, 11]",3210,2237,1553183,2500966
4,"[1, 3, 6, 7]",2956,2103,1453541,2210253
4,"[1, 3, 6, 8]",1871,1655,942404,1368685
4,"[1, 3, 6, 9]",2092,1754,978560,1537381
4,"[1, 3, 6, 10]",2030,1726,964512,1488675
4,"[1, 3, 6, 11]",2996,2136,1493109,2280180
4,"[1, 3, 7, 8]",2805,1997,1431936,1993006
4,"[1, 3, 7, 9]",3026,2156,1471953,2323090
4,"[1, 3, 7, 10]",2964,2024,1446321,2047276
4,"[1, 3, 7, 11]",3930,2516,1981061,3163870
4,"[1, 3, 8, 9]",1941,1714,961066,1468041
4,"[1, 3, 8, 10]",1879,1628,942934,1324378
4,"[1, 3, 8, 11]",2845,2113,1482728,2231328
4,"[1, 3, 9, 10]",2100,1776,983021,1576200
4,"[1, 3, 9, 11]",3066,2160,1502787,2331720
4,"[1, 3, 10, 11]",3004,2175,1504552,2364225
4,"[1, 4, 5, 6]",1205,944,187639,445096
4,"[1, 4, 5, 7]",2139,1437,781153,1031766
4,"[1, 4, 5, 8]",1054,798,162582,318003
4,"[1, 4, 5, 9]",1275,1006,206855,505515
4,"[1, 4, 5, 10]",1213,846,183795,357435
