subset_size,subset_indices,AV,CC,PAIRS,CONS,EJR,beta_EJR,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,alpha_EJR
4,"[5, 7, 9, 11]",3160,2325,1480487,2701650,True,1.0,0.7232776379034104,0.8956086286594761,0.7137436266304641,0.8020787872850184,1.0
4,"[5, 7, 10, 11]",3098,2304,1474628,2653056,True,1.0,0.7090867475394828,0.8875192604006163,0.7109189993906249,0.7876519679008167,1.0
4,"[5, 8, 9, 10]",1109,962,183968,462241,False,0.99609375,0.25383382925154496,0.37057010785824346,0.08869107766833023,0.13723232125309132,0.99609375
4,"[5, 8, 9, 11]",2075,1684,864315,1417086,True,1.0,0.4749370565346761,0.6486902927580893,0.4166867541904182,0.4207112765748996,1.0
4,"[5, 8, 10, 11]",2013,1730,867067,1495585,True,1.0,0.46074616617074843,0.6664098613251156,0.41801349495915646,0.44401643554185927,1.0
4,"[5, 9, 10, 11]",2234,1788,888521,1597578,True,1.0,0.511329823758297,0.6887519260400616,0.4283564805887026,0.47429660571621973,1.0
4,"[6, 7, 8, 9]",1821,1610,766340,1295245,True,1.0,0.4168001831082628,0.6201848998459168,0.3694529508411691,0.384538537129896,1.0
4,"[6, 7, 8, 10]",1759,1525,743377,1162050,False,0.99609375,0.4026092927443351,0.587442218798151,0.358382475451439,0.3449949678028448,0.99609375
4,"[6, 7, 8, 11]",2725,2235,1419979,2496495,True,1.0,0.6237125200274662,0.860939907550077,0.6845726853387432,0.7411713886192185,1.0
4,"[6, 7, 9, 10]",1980,1647,782854,1355481,True,1.0,0.4531929503318837,0.634437596302003,0.37741435965473885,0.4024216892150663,1.0
4,"[6, 7, 9, 11]",2946,2277,1439569,2591226,True,1.0,0.6742961776150149,0.8771186440677966,0.6940170355057428,0.7692955814637014,1.0
4,"[6, 7, 10, 11]",2884,2278,1436555,2593503,True,1.0,0.6601052872510872,0.8775038520801233,0.6925639843876551,0.769971588125796,1.0
4,"[6, 8, 9, 10]",895,729,107704,265356,False,0.99609375,0.20485236896314946,0.2808166409861325,0.05192415979512654,0.07878015978339285,0.99609375
4,"[6, 8, 9, 11]",1861,1387,778579,961191,False,0.99609375,0.4259555962462806,0.5342835130970724,0.37535337971783617,0.2853629861859508,0.99609375
4,"[6, 8, 10, 11]",1799,1498,785716,1121253,False,0.99609375,0.4117647058823529,0.5770416024653313,0.3787941314861811,0.33288295911005816,0.99609375
4,"[6, 9, 10, 11]",2020,1536,805321,1178880,False,0.99609375,0.4623483634699016,0.5916795069337443,0.38824571316173123,0.3499915387835443,0.99609375
4,"[7, 8, 9, 10]",1829,1583,762346,1252153,False,0.99609375,0.41863126573586634,0.6097842835130971,0.3675274411644464,0.3717451778488322,0.99609375
4,"[7, 8, 9, 11]",2795,2260,1429269,2552670,True,1.0,0.6397344930189974,0.8705701078582434,0.6890513996343749,0.7578488915806443,1.0
4,"[7, 8, 10, 11]",2733,2246,1424461,2521135,True,1.0,0.6255436026550698,0.8651771956856703,0.6867334600936432,0.748486629793576,1.0
4,"[7, 9, 10, 11]",2954,2305,1445835,2655360,True,1.0,0.6761272602426185,0.887904468412943,0.6970378776775865,0.7883359904521853,1.0
4,"[8, 9, 10, 11]",1869,1518,794916,1151403,False,0.99609375,0.42778667887388416,0.5847457627118644,0.3832294567305096,0.3418340354658568,0.99609375
5,"[0, 1, 2, 3, 4]",2522,1829,1101915,1671706,True,1.0,0.5226943005181347,0.6920166477487704,0.5224656210542387,0.47880637096319156,1.0
5,"[0, 1, 2, 3, 5]",2669,1872,1140570,1751256,True,1.0,0.553160621761658,0.7082860385925085,0.5407936305484843,0.501590907723915,1.0
5,"[0, 1, 2, 3, 6]",2455,1896,1099780,1796460,True,1.0,0.5088082901554404,0.717366628830874,0.5214533250958836,0.5145381383930758,1.0
5,"[0, 1, 2, 3, 7]",3389,2094,1531315,2191371,True,1.0,0.7023834196891192,0.7922814982973894,0.7260627566596983,0.6276476820349871,1.0
5,"[0, 1, 2, 3, 8]",2304,1799,1078149,1617301,True,1.0,0.47751295336787564,0.6806659099508134,0.5111971312433412,0.4632238100270865,1.0
5,"[0, 1, 2, 3, 9]",2525,1950,1117932,1900275,True,1.0,0.5233160621761658,0.7377979568671964,0.5300599743867787,0.5442726033058917,1.0
5,"[0, 1, 2, 3, 10]",2463,1819,1092035,1653471,True,1.0,0.5104663212435233,0.6882330684827848,0.5177810851907502,0.47358354220352106,1.0
5,"[0, 1, 2, 3, 11]",3429,2340,1636931,2736630,True,1.0,0.7106735751295337,0.8853575482406356,0.7761398760684227,0.783819570527951,1.0
5,"[0, 1, 2, 4, 5]",1638,1069,332271,570846,False,0.99609375,0.3394818652849741,0.40446462353386303,0.1575440704349364,0.1635004609894647,0.99609375
