subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
5,165640,"[9, 8, 3, 4, 2]",2193,609,172312,185136,0.5103560623690947,0.9326186830015314,0.8611208283775275,0.8696812258664587
6,273130,"[9, 8, 3, 4, 2, 5]",2193,609,172312,185136,0.5103560623690947,0.9326186830015314,0.8611208283775275,0.8696812258664587
7,429695,"[9, 8, 3, 4, 2, 5, 1]",2722,646,194911,208335,0.6334652082848499,0.9892802450229708,0.9740582303025457,0.9786591380978776
8,679695,"[9, 8, 3, 4, 2, 5, 1, 0]",3109,648,195951,209628,0.7235280428205725,0.9923430321592649,0.9792555796543763,0.9847330395813565
7,523130,"[9, 8, 3, 4, 2, 5, 0]",2580,619,176648,191271,0.6004188969048173,0.9479326186830015,0.8827897772136211,0.898500549610575
6,322205,"[9, 8, 3, 4, 2, 1]",2722,646,194911,208335,0.6334652082848499,0.9892802450229708,0.9740582303025457,0.9786591380978776
7,572205,"[9, 8, 3, 4, 2, 1, 0]",3109,648,195951,209628,0.7235280428205725,0.9923430321592649,0.9792555796543763,0.9847330395813565
6,415640,"[9, 8, 3, 4, 2, 0]",2580,619,176648,191271,0.6004188969048173,0.9479326186830015,0.8827897772136211,0.898500549610575
5,180880,"[9, 8, 3, 4, 5]",1692,568,149260,161028,0.3937630905282755,0.8698315467075038,0.745919581013683,0.7564332622441022
6,337445,"[9, 8, 3, 4, 5, 1]",2221,625,181404,195000,0.5168722364440307,0.9571209800918836,0.9065576555956463,0.9160176251186125
7,587445,"[9, 8, 3, 4, 5, 1, 0]",2608,628,182928,196878,0.6069350709797533,0.9617151607963247,0.9141737713765979,0.9248395794774472
6,430880,"[9, 8, 3, 4, 5, 0]",2079,586,156718,171405,0.48382592506399813,0.8973966309341501,0.783190572807868,0.8051794924792605
5,229955,"[9, 8, 3, 4, 1]",2221,625,181404,195000,0.5168722364440307,0.9571209800918836,0.9065576555956463,0.9160176251186125
6,479955,"[9, 8, 3, 4, 1, 0]",2608,628,182928,196878,0.6069350709797533,0.9617151607963247,0.9141737713765979,0.9248395794774472
5,323390,"[9, 8, 3, 4, 0]",2079,586,156718,171405,0.48382592506399813,0.8973966309341501,0.783190572807868,0.8051794924792605
4,88390,"[9, 8, 3, 6]",1654,582,154041,169071,0.38491971142657666,0.891271056661562,0.7698123956782041,0.7942154661355331
5,143390,"[9, 8, 3, 6, 10]",1993,594,158746,176121,0.46381196183383755,0.9096477794793262,0.7933254040439376,0.8273330264282829
6,199470,"[9, 8, 3, 6, 10, 7]",2403,605,164890,182710,0.5592273679311147,0.9264931087289433,0.8240297448301366,0.8582850271047266
7,291720,"[9, 8, 3, 6, 10, 7, 2]",2904,626,180140,195625,0.6758203397719339,0.9586523736600306,0.9002408771526521,0.9189535790452747
8,399210,"[9, 8, 3, 6, 10, 7, 2, 5]",2904,626,180140,195625,0.6758203397719339,0.9586523736600306,0.9002408771526521,0.9189535790452747
