election,n_voters,n_projects,budget,committee_size,total_cost,ejr_abcvoting,alpha_ilp,validation,error
poland_warszawa_2019_grochow-polnocny,642,5,381500,5,381500,True,1.0,PASS,
poland_warszawa_2019_kamionek,669,7,322239,6,289700,True,0.15969990740269943,MISMATCH,
poland_warszawa_2019_las,127,13,120905,13,120905,True,1.0,PASS,
poland_warszawa_2019_marysin-wawerski-polnocny,421,13,161719,4,152340,True,0.42525252525252527,MISMATCH,
poland_warszawa_2019_marysin-wawerski-poludniowy,85,2,27100,2,27100,True,1.0,PASS,
poland_warszawa_2019_miasto-ogrod-sadyba,1063,11,462911,7,453254,True,0.12319346497035732,MISMATCH,
poland_warszawa_2019_miedzeszyn,295,5,137672,3,134940,True,0.2892745075251322,MISMATCH,
poland_warszawa_2019_miedzylesie,466,10,179370,6,177150,True,0.2668223556108933,MISMATCH,
poland_warszawa_2019_muranow,182,2,920000,2,116100,True,1.0,PASS,
poland_warszawa_2019_nadwisle,205,7,135502,3,128035,True,1.0,PASS,
poland_warszawa_2019_obszar-3-marymont-potok-zoliborz-dziennikarski,606,12,527500,6,526020,True,0.08616113744075829,MISMATCH,
poland_warszawa_2019_obszar-4-piekielko-zeran-annopol,748,5,546512,5,546512,True,1.0,PASS,
poland_warszawa_2019_obszar-4-zoliborz-poludniowy,439,5,263750,3,239745,True,0.09986729857819905,MISMATCH,
poland_warszawa_2019_obszar-5-powazki,364,6,263750,2,263750,True,1.0,PASS,
poland_warszawa_2019_obszar-i-wilanow-wysoki-wilanow-niski-zachodni,242,7,459000,7,459000,True,1.0,PASS,
poland_warszawa_2019_obszar-iii-powsin-kepa-latoszkowa-zamosc-latoszki,154,7,220000,4,207150,True,0.20192307692307693,MISMATCH,
poland_warszawa_2019_piaski,558,9,900000,7,840248,True,0.6118421052631579,MISMATCH,
poland_warszawa_2019_przyczolek-grochowski,274,4,114339,1,92800,True,0.6682926829268294,MISMATCH,
poland_warszawa_2019_przywisle,1030,8,1120000,6,1083925,True,0.21458333333333332,MISMATCH,
poland_warszawa_2019_radiowo-wolka-weglowa-placowka-huta,142,1,200000,1,200000,True,1.0,PASS,
poland_warszawa_2019_radosc,185,5,151250,5,151250,True,1.0,PASS,
poland_warszawa_2019_rejon-poludniowy,929,13,1700000,13,1510825,True,1.0,PASS,
poland_warszawa_2019_ruda-marymont-las-bielanski,718,9,550000,5,543800,True,0.48954545454545456,MISMATCH,
poland_warszawa_2019_sadul,110,2,123500,2,123500,True,1.0,PASS,
poland_warszawa_2019_slodowiec,447,7,462000,7,461828,True,1.0,PASS,
poland_warszawa_2019_sluzew,663,8,670085,2,666505,True,0.4194308898514173,MISMATCH,
poland_warszawa_2019_srodmiescie-polnocne,396,9,1120000,9,933300,True,1.0,PASS,
poland_warszawa_2019_stara-ochota,631,9,373927,9,373927,True,1.0,PASS,
poland_warszawa_2019_stare-bielany,847,12,800000,9,765738,True,0.20292708333333334,MISMATCH,
poland_warszawa_2019_stare-miasto,413,9,920000,8,915220,True,1.0,PASS,
poland_warszawa_2019_subunit-wawer,287,6,136447,2,123000,True,0.37831602081918425,MISMATCH,
poland_warszawa_2019_zerzen,331,7,181561,7,181561,True,1.0,PASS,
poland_warszawa_2026_blonia-wilanowskie,593,12,846539,7,832180,True,1.0,PASS,
poland_warszawa_2026_boernerowo-lotnisko-fort-radiowo-groty,440,4,241868,2,208300,True,1.0,PASS,
poland_warszawa_2026_brodno-podgrodzie-zacisze,729,5,1209341,4,1199489,True,1.0,PASS,
poland_warszawa_2026_kobialka-grodzisk-brzeziny,1610,7,1451209,3,1244000,True,1.0,PASS,
poland_warszawa_2026_las-bielanski-marymont-ruda-marymont-kaskada,553,13,362802,5,360200,True,0.09626825593429388,MISMATCH,
poland_warszawa_2026_las-zerzen-wawer-sadul,1130,12,725604,7,716830,True,0.30610544599035927,MISMATCH,
poland_warszawa_2026_miedzylesie-radosc,777,13,604670,5,595098,True,0.21416640481584998,MISMATCH,
poland_warszawa_2026_mirow-czyste-odolany,2186,10,1693077,4,1682867,True,0.6509397477562504,MISMATCH,
poland_warszawa_2026_mlociny-wolka-weglowa-placowka-radiowo-huta,310,5,241868,2,233780,True,0.5081967213114754,MISMATCH,
poland_warszawa_2026_muranow-nowe-miasto-stare-miasto,501,8,967473,7,666920,True,0.2165529073256731,MISMATCH,
poland_warszawa_2026_nowodwory,2076,12,1209341,4,1111288,True,0.04614616688998655,MISMATCH,
poland_warszawa_2026_olszynka-grochowska-goclawek,538,6,846539,4,825631,True,0.5163672317518744,MISMATCH,
poland_warszawa_2026_powazki-nowolipki-mlynow,1013,13,1693077,9,1596100,True,0.16317788693173865,MISMATCH,
poland_warszawa_2026_siekierki-augustowka,315,6,241868,2,233155,True,1.0,PASS,
poland_warszawa_2026_sielce,259,1,846539,1,171000,True,1.0,PASS,
poland_warszawa_2026_sluzew,1055,7,1209341,4,775975,True,1.0,PASS,
poland_warszawa_2026_srodmiescie,2113,10,2176812,9,1953550,True,1.0,PASS,
poland_warszawa_2026_srodmiescie-polnocne,308,9,846539,7,833538,True,0.9095859730030158,MISMATCH,
poland_warszawa_2026_srodmiescie-poludniowe,620,13,967473,12,875320,True,1.0,PASS,
poland_warszawa_2026_stary-mokotow,1534,12,1209341,6,1204000,True,0.648809710336494,MISMATCH,
poland_warszawa_2026_stegny,891,12,846539,11,741630,True,1.0,PASS,
poland_warszawa_2026_tarchomin,948,9,967473,4,964880,True,0.16959328381972735,MISMATCH,
poland_warszawa_2026_wawrzyszew,857,13,483736,4,474875,True,0.418748318015687,MISMATCH,
poland_warszawa_2026_wilanow,1367,8,967473,8,711466,True,1.0,PASS,
poland_warszawa_2026_wlochy,2102,10,967473,7,963000,True,1.0,PASS,
poland_warszawa_2026_wrzeciono,629,12,725604,6,696112,True,0.17879070402037475,MISMATCH,
poland_warszawa_2026_wygledow-sluzewiec,598,3,725604,2,619500,True,0.9966666666666667,MISMATCH,
us_stanford-dataset_2021-22-cal-high-library-pb_vote-knapsacks,238,9,1300,1,1300,True,0.34326923076923077,MISMATCH,
us_stanford-dataset_2022-central-falls-high-school-participatory-budgeting-vote_vote-approvals,356,8,10000,2,9700,True,0.5313432835820896,MISMATCH,
us_stanford-dataset_2022-jersey-city-ward-b_vote-knapsacks,127,7,50000,1,50000,True,0.3735294117647059,MISMATCH,
us_stanford-dataset_2022-jersey-city-ward-c_vote-knapsacks,187,10,50000,1,50000,True,0.38958333333333334,MISMATCH,
us_stanford-dataset_2022-jersey-city-ward-d_vote-knapsacks,245,12,50000,1,50000,True,0.3951612903225806,MISMATCH,
us_stanford-dataset_2022-jersey-city-ward-e_vote-knapsacks,364,12,50000,3,50000,True,0.06442477876106195,MISMATCH,
us_stanford-dataset_2022-jersey-city-ward-f_vote-knapsacks,132,9,50000,5,50000,False,0.3384615384615385,EXPECTED,
us_stanford-dataset_cnycf-participatory-budgeting-project-2023_vote-approvals,449,4,150000,1,150000,True,0.2915584415584416,MISMATCH,
