subset_size,subset_indices,AV,CC,PAIRS,CONS,EJR,beta_EJR,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,alpha_EJR
4,"[0, 1, 2, 5]",39,26,154,325,True,1.0,0.639344262295082,0.8387096774193549,0.4709480122324159,0.6989247311827957,1.0
4,"[0, 1, 2, 6]",35,22,120,231,True,1.0,0.5737704918032787,0.7096774193548387,0.3669724770642202,0.4967741935483871,1.0
4,"[0, 1, 2, 7]",40,23,154,253,True,1.0,0.6557377049180327,0.7419354838709677,0.4709480122324159,0.5440860215053763,1.0
4,"[0, 1, 3, 4]",56,27,287,351,True,1.0,0.9180327868852459,0.8709677419354839,0.8776758409785933,0.7548387096774194,1.0
4,"[0, 1, 3, 5]",47,27,228,351,True,1.0,0.7704918032786885,0.8709677419354839,0.6972477064220184,0.7548387096774194,1.0
4,"[0, 1, 3, 6]",43,25,209,300,True,1.0,0.7049180327868853,0.8064516129032258,0.6391437308868502,0.6451612903225806,1.0
4,"[0, 1, 3, 7]",48,25,236,300,True,1.0,0.7868852459016393,0.8064516129032258,0.7217125382262997,0.6451612903225806,1.0
4,"[0, 1, 4, 5]",49,28,271,378,True,1.0,0.8032786885245902,0.9032258064516129,0.8287461773700305,0.8129032258064516,1.0
4,"[0, 1, 4, 6]",45,26,235,325,True,1.0,0.7377049180327869,0.8387096774193549,0.7186544342507645,0.6989247311827957,1.0
4,"[0, 1, 4, 7]",50,26,247,325,True,1.0,0.819672131147541,0.8387096774193549,0.7553516819571865,0.6989247311827957,1.0
4,"[0, 1, 5, 6]",36,26,143,325,True,1.0,0.5901639344262295,0.8387096774193549,0.43730886850152906,0.6989247311827957,1.0
4,"[0, 1, 5, 7]",41,26,176,325,True,1.0,0.6721311475409836,0.8387096774193549,0.5382262996941896,0.6989247311827957,1.0
4,"[0, 1, 6, 7]",37,23,142,253,True,1.0,0.6065573770491803,0.7419354838709677,0.43425076452599387,0.5440860215053763,1.0
4,"[0, 2, 3, 4]",58,29,305,406,True,1.0,0.9508196721311475,0.9354838709677419,0.9327217125382263,0.8731182795698925,1.0
4,"[0, 2, 3, 5]",49,28,245,378,True,1.0,0.8032786885245902,0.9032258064516129,0.7492354740061162,0.8129032258064516,1.0
4,"[0, 2, 3, 6]",45,27,226,351,True,1.0,0.7377049180327869,0.8709677419354839,0.691131498470948,0.7548387096774194,1.0
